Row Labels,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment,,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment
0001CA,0,0,0,33957.5,,18.22809366,10.85115564,0.787338802,
0001CO,0,0,0,33957.5,,31.3,372.18,9864.19,
0001FL,0,0,1,44106.29,,570.5393316,4038.583106,7766.459537,
0001HI,0,0,0,33957.5,,,,,
0001IA,0,0,0,33957.5,,457300013.7,,,
0001ID,0,0,5.25,87238.67,,,,,
0001IL,0,0,2,54255.09,,,,,
0001LA,0,0,0,33957.5,,premium,457287638.1,19546.38333,
0001ME,0,0,0,33957.5,,,,,
0001MI,0,0,0,33957.5,,,,,
0001MT,5,2,0,35090.25,,,,19546.38333,
0001NC,0,0,0,0,,,,,
0001ND,0,0,0,33957.5,,,,,
0001NE,0,0,0,0,,,,,
0001NM,11,9,1,48782.2,,,,,
0001OH,0,0,0,33957.5,,,,,
0001OR,0,0,0,33957.5,,,,,
0001PA,0,0,0,33957.5,,,,,
0001PR,11,1,0,34835.4,,,,,
0001SC,33,8,0,38964.96,,,,,
0001SD,0,0,0,33957.5,,,,,
0001TX,0,0,0,33957.5,,457300013.7,,,
0001VA,278,161.4,0,120770.96,,,,,
0001WY,0,0,0,33957.5,,,,,
0002CA,0,0,0,33957.5,,,,,
0002FL,0,0,0,33957.5,,,,,
0002ID,1,0.67,0,34310.65,,,,,
0002IL,0,0,2,54255.09,,,,,
0002KS,0,0,0,33957.5,,,,,
0002KY,0,0,0,33957.5,,,,,
0002MI,0,0,0,33957.5,,,,,
0002MN,0,0,0,33957.5,,,,,
0002MT,0,0,0,33957.5,,,,,
0002ND,1,0,0,33994.15,,,,,
0002NM,2,2,0,34980.3,,,,,
0002OH,0,0,0,33957.5,,,,,
0002PR,0,0,4,74552.68,,,,,
0002SC,23,10,0,39547.96,,,,,
0002SD,1,1,0,34468.9,,,,,
0002WY,0,0,0,33957.5,,,,,
0003CA,0,0,0,33957.5,,,,,
0003FL,0,0,1,44106.29,,,,,
0003HI,0,0,4,74552.68,,,,,
0003ID,0,0,0,33957.5,,,,,
0003IL,0,0,0,33957.5,,,,,
0003KS,0,0,0,33957.5,,,,,
0003MA,9,3.25,2.5,61202.28,,,,,
0003MD,0,0,0,33957.5,,,,,
0003MN,0,0,0,0,,,,,
0003MT,0,0,0,33957.5,,,,,
0003ND,1,1,0,34468.9,,,,,
0003NJ,0,0,1,44106.29,,,,,
0003NM,0,0,0,33957.5,,,,,
0003NV,1,0,0,33994.15,,,,,
0003PR,0,0,3,64403.88,,,,,
0003SC,12,7,0,37720.55,,,,,
0003WA,12,12,0,40094.3,,,,,
0003WI,0,0,0,33957.5,,,,,
0003WY,1,0,0,33994.15,,,,,
0004AK,0,0,0,33957.5,,,,,
0004CO,0,0,0,0,,,,,
0004ID,1,0.33,0,34152.4,,,,,
0004MA,0,0,0,33957.5,,,,,
0004MT,0,0,0,33957.5,,,,,
0004ND,0,0,0,33957.5,,,,,
0004NJ,0,0,0,33957.5,,,,,
0004NV,0,0,0,33957.5,,,,,
0004PR,0,0,2,54255.09,,,,,
0004SC,20,5,0,37064.25,,,,,
0004WA,0,0,0,33957.5,,,,,
0004WI,0,0,0,33957.5,,,,,
0004WY,0,0,0,33957.5,,,,,
0005AK,0,0,0,33957.5,,,,,
0005FL,0,0,0,33957.5,,,,,
0005ID,0,0,0,33957.5,,,,,
0005MI,0,0,0,0,,,,,
0005MT,2,0,0,34030.8,,,,,
0005ND,2,0,0,34030.8,,,,,
0005NJ,0,0,0,33957.5,,,,,
0005NY,0,0,0,33957.5,,,,,
0005PR,0,0,1,44106.29,,,,,
0005SC,19,2,0,35603.35,,,,,
0005TN,0,0,0,33957.5,,,,,
0005VT,0,0,0,33957.5,,,,,
0005WA,5,2,0,35090.25,,,,,
0005WI,0,0,0,33957.5,,,,,
0006FL,32,3,0,36554.56,,,,,
0006GA,0,0,0,33957.5,,,,,
0006HI,6,2,0,35126.9,,,,,
0006IL,0,0,0,33957.5,,,,,
0006MD,0,0,0,33957.5,,,,,
0006MI,0,0,0,33957.5,,,,,
0006MT,3,0,0,34067.45,,,,,
0006ND,2,0,0,34030.8,,,,,
0006NJ,0,0,0,33957.5,,,,,
0006NM,0,0,2.5,59329.48,,,,,
0006NV,0,0,0,33957.5,,,,,
0006NY,0,0,0,33957.5,,,,,
0006OH,0,0,0,33957.5,,,,,
0006PR,0,0,1,44106.29,,,,,
0006SC,12,5,0,36771.05,,,,,
0006TX,0,0,0,33957.5,,,,,
0007AL,0,0,0,33957.5,,,,,
0007AZ,0,0,0,33957.5,,,,,
0007HI,3,0,0,34067.45,,,,,
0007MI,0,0,0,33957.5,,,,,
0007MN,0,0,0,33957.5,,,,,
0007MT,0,0,0,33957.5,,,,,
0007ND,0,0,0,33957.5,,,,,
0007NJ,0,0,0,33957.5,,,,,
0007NM,0,0,1,44106.29,,,,,
0007OR,0,0,0,33957.5,,,,,
0007PR,0,0,5,84701.47,,,,,
0007TN,0,0,0,0,,,,,
0007TX,0,0,0,33957.5,,,,,
0007UT,0,0,0,33957.5,,,,,
0007WA,3.67,3.33,0,35674.38,,,,,
0008AR,1,1,0,34468.9,,,,,
0008AZ,0,0,0,33957.5,,,,,
0008GA,0,0,0,33957.5,,,,,
0008HI,0,0,0,33957.5,,,,,
0008IL,0,0,0,0,,,,,
0008MI,0,0,0,33957.5,,,,,
0008ND,1,0,0,33994.15,,,,,
0008NJ,0,0,0,33957.5,,,,,
0008NM,0,0,0.5,39031.89,,,,,
0008OH,0,0,0,33957.5,,,,,
0008OR,1,0,0,33994.15,,,,,
0008PR,1,1,1,44617.69,,,,,
0008SC,0,0,0,33957.5,,,,,
0008TX,0,0,0,0,,,,,
0009AR,0,0,0,33957.5,,,,,
0009AZ,0,0,0,33957.5,,,,,
0009GA,0,0,0,33957.5,,,,,
0009HI,0,0,0,33957.5,,,,,
0009IN,0,0,0,33957.5,,,,,
0009LA,0,0,0,0,,,,,
0009MN,0,0,0,33957.5,,,,,
0009ND,3,0,0,34067.45,,,,,
0009NY,0,0,11,145594.24,,,,,
0009OH,0,0,0,33957.5,,,,,
0009SC,0,0,0,33957.5,,,,,
0009WA,1,1,0,34468.9,,,,,
0010AZ,0,0,0,33957.5,,,,,
0010GA,0,0,0,33957.5,,,,,
0010HI,0,0,0,33957.5,,,,,
0010IL,0,0,0,0,,,,,
0010MD,4,3,0,35528.35,,,,,
0010ND,1,0,0,33994.15,,,,,
0010NY,0,0,0,33957.5,,,,,
0010OH,0,0,0,33957.5,,,,,
0010PR,0,0,1,44106.29,,,,,
0010SC,0,0,0,33957.5,,,,,
0010TX,1,0,0,33994.15,,,,,
0010WA,0,0,0,33957.5,,,,,
0011AZ,5,4,0,36039.75,,,,,
0011CO,0,0,0,33957.5,,,,,
0011HI,4,3,0,35528.35,,,,,
0011MA,7.5,5,0,36606.12,,,,,
0011MN,0,0,0,33957.5,,,,,
0011NY,0,0,2,54255.09,,,,,
0011SC,0,0,0,33957.5,,,,,
0011TX,0,0,0,33957.5,,,,,
0011WA,2,0,0,34030.8,,,,,
0012HI,0,0,0,33957.5,,,,,
0012MD,0,0,0,33957.5,,,,,
0012MN,0,0,0,33957.5,,,,,
0012MS,0,0,0,33957.5,,,,,
0012NC,0,0,0,33957.5,,,,,
0012NM,0,0,0,33957.5,,,,,
0012PR,0,0,1,44106.29,,,,,
0012SC,0,0,0,33957.5,,,,,
0012TX,5,1,0,34615.5,,,,,
0012VA,11,10,0,39108.15,,,,,
0012VI,0,0,3.5,69478.28,,,,,
